"","Sales Order","Serial No.","# of ID's","Customer","Researcher","Tag Family","VUE Tag ID","Est tag life (days)","Step 1 Status","Step 1 Time     (dy hr:min:sec)","Step 1 Power (L/H)","Step 1 Acc. On (sec)","Step 1 Min Delay (sec)","Step 1 Max Delay (sec)","Step 2 Status","Step 2 Time       (dy hr:min:sec)","Step 2 Power (L/H)","Step 2 Acc. On (sec)","Step 2 Min Delay (sec)","Step 2 Max Delay (sec)","Step 3 Status","Step 3 Time       (dy hr:min:sec)","Step 3 Power (L/H)","Step 3 Acc. On (sec)","Step 3 Min Delay (sec)","Step 3 Max Delay (sec)","Step 4 Status","Step 4 Time         (dy hr:min:sec)","Step 4 Power (L/H)","Step 4 Acc. On (sec)","Step 4 Min Delay (sec)","Step 4 Max Delay (sec)","Loop To","Sensor type","Range","Units","Slope","Intercept","Accelerometer Algorithm","Accelerometer Samples (/sec)","Sensor Transmit Ratio","95% Est Battery Life (days)","50% Est Battery Life (days)","Ship Date"
"20","25284","1294154","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3965","140","ON","90 00:00:00","H",NA,"50","100","ON","55 00:00:00","H",NA,"140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","P","0034","Meters","0.1516","-0.6065",NA,NA,NA,NA,NA,"2018-05-11"
"21","25284","1294155","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3966","140","ON","90 00:00:00","H","37","50","100","ON","55 00:00:00","H","37","140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","A","+/- 4.9","m/s²","0.01922","0","Activity","10","1",NA,NA,"2018-05-11"
"22","25284","1294155","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3967","140","ON","90 00:00:00","H",NA,"50","100","ON","55 00:00:00","H",NA,"140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","P","0034","Meters","0.1516","-0.6065",NA,NA,NA,NA,NA,"2018-05-11"
"23","25284","1294156","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3968","140","ON","90 00:00:00","H","37","50","100","ON","55 00:00:00","H","37","140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","A","+/- 4.9","m/s²","0.01922","0","Activity","10","1",NA,NA,"2018-05-11"
"24","25284","1294156","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3969","140","ON","90 00:00:00","H",NA,"50","100","ON","55 00:00:00","H",NA,"140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","P","0034","Meters","0.1516","-0.6065",NA,NA,NA,NA,NA,"2018-05-11"
"25","25284","1294157","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3970","140","ON","90 00:00:00","H","37","50","100","ON","55 00:00:00","H","37","140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","A","+/- 4.9","m/s²","0.01922","0","Activity","10","1",NA,NA,"2018-05-11"
"26","25284","1294157","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3971","140","ON","90 00:00:00","H",NA,"50","100","ON","55 00:00:00","H",NA,"140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","P","0034","Meters","0.1516","-0.6065",NA,NA,NA,NA,NA,"2018-05-11"
"27","25284","1294158","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3972","140","ON","90 00:00:00","H","37","50","100","ON","55 00:00:00","H","37","140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","A","+/- 4.9","m/s²","0.01922","0","Activity","10","1",NA,NA,"2018-05-11"
"28","25284","1294158","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3973","140","ON","90 00:00:00","H",NA,"50","100","ON","55 00:00:00","H",NA,"140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","P","0034","Meters","0.1516","-0.6065",NA,NA,NA,NA,NA,"2018-05-11"
"29","25284","1294159","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3974","140","ON","90 00:00:00","H","37","50","100","ON","55 00:00:00","H","37","140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","A","+/- 4.9","m/s²","0.01922","0","Activity","10","1",NA,NA,"2018-05-11"
"30","25284","1294159","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3975","140","ON","90 00:00:00","H",NA,"50","100","ON","55 00:00:00","H",NA,"140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","P","0034","Meters","0.1516","-0.6065",NA,NA,NA,NA,NA,"2018-05-11"
"31","25284","1294160","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3976","140","ON","90 00:00:00","H","37","50","100","ON","55 00:00:00","H","37","140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","A","+/- 4.9","m/s²","0.01922","0","Activity","10","1",NA,NA,"2018-05-11"
"32","25284","1294160","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3977","140","ON","90 00:00:00","H",NA,"50","100","ON","55 00:00:00","H",NA,"140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","P","0034","Meters","0.1516","-0.6065",NA,NA,NA,NA,NA,"2018-05-11"
"33","25284","1294161","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3978","140","ON","90 00:00:00","H","37","50","100","ON","55 00:00:00","H","37","140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","A","+/- 4.9","m/s²","0.01922","0","Activity","10","1",NA,NA,"2018-05-11"
"34","25284","1294161","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3979","140","ON","90 00:00:00","H",NA,"50","100","ON","55 00:00:00","H",NA,"140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","P","0034","Meters","0.1516","-0.6065",NA,NA,NA,NA,NA,"2018-05-11"
"35","25284","1294162","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3980","140","ON","90 00:00:00","H","37","50","100","ON","55 00:00:00","H","37","140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","A","+/- 4.9","m/s²","0.01922","0","Activity","10","1",NA,NA,"2018-05-11"
"36","25284","1294162","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3981","140","ON","90 00:00:00","H",NA,"50","100","ON","55 00:00:00","H",NA,"140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","P","0034","Meters","0.1516","-0.6065",NA,NA,NA,NA,NA,"2018-05-11"
"37","25284","1294163","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3982","140","ON","90 00:00:00","H","37","50","100","ON","55 00:00:00","H","37","140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","A","+/- 4.9","m/s²","0.01922","0","Activity","10","1",NA,NA,"2018-05-11"
"38","25284","1294163","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3983","140","ON","90 00:00:00","H",NA,"50","100","ON","55 00:00:00","H",NA,"140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","P","0034","Meters","0.1516","-0.6065",NA,NA,NA,NA,NA,"2018-05-11"
"39","25284","1294164","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3984","140","ON","90 00:00:00","H","37","50","100","ON","55 00:00:00","H","37","140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","A","+/- 4.9","m/s²","0.01922","0","Activity","10","1",NA,NA,"2018-05-11"
"40","25284","1294164","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3985","140","ON","90 00:00:00","H",NA,"50","100","ON","55 00:00:00","H",NA,"140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","P","0034","Meters","0.1516","-0.6065",NA,NA,NA,NA,NA,"2018-05-11"
"41","25284","1294165","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3986","140","ON","90 00:00:00","H","37","50","100","ON","55 00:00:00","H","37","140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","A","+/- 4.9","m/s²","0.01922","0","Activity","10","1",NA,NA,"2018-05-11"
"42","25284","1294165","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3987","140","ON","90 00:00:00","H",NA,"50","100","ON","55 00:00:00","H",NA,"140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","P","0034","Meters","0.1516","-0.6065",NA,NA,NA,NA,NA,"2018-05-11"
"43","25284","1294166","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3988","140","ON","90 00:00:00","H","37","50","100","ON","55 00:00:00","H","37","140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","A","+/- 4.9","m/s²","0.01922","0","Activity","10","1",NA,NA,"2018-05-11"
"44","25284","1294166","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3989","140","ON","90 00:00:00","H",NA,"50","100","ON","55 00:00:00","H",NA,"140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","P","0034","Meters","0.1516","-0.6065",NA,NA,NA,NA,NA,"2018-05-11"
"45","25284","1294167","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3990","140","ON","90 00:00:00","H","37","50","100","ON","55 00:00:00","H","37","140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","A","+/- 4.9","m/s²","0.01922","0","Activity","10","1",NA,NA,"2018-05-11"
"46","25284","1294167","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3991","140","ON","90 00:00:00","H",NA,"50","100","ON","55 00:00:00","H",NA,"140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","P","0034","Meters","0.1516","-0.6065",NA,NA,NA,NA,NA,"2018-05-11"
"47","25284","1294168","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3992","140","ON","90 00:00:00","H","37","50","100","ON","55 00:00:00","H","37","140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","A","+/- 4.9","m/s²","0.01922","0","Activity","10","1",NA,NA,"2018-05-11"
"48","25284","1294168","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3993","140","ON","90 00:00:00","H",NA,"50","100","ON","55 00:00:00","H",NA,"140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","P","0034","Meters","0.1516","-0.6065",NA,NA,NA,NA,NA,"2018-05-11"
"49","25284","1294169","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3994","140","ON","90 00:00:00","H","37","50","100","ON","55 00:00:00","H","37","140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","A","+/- 4.9","m/s²","0.01922","0","Activity","10","1",NA,NA,"2018-05-11"
"50","25284","1294169","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3995","140","ON","90 00:00:00","H",NA,"50","100","ON","55 00:00:00","H",NA,"140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","P","0034","Meters","0.1516","-0.6065",NA,NA,NA,NA,NA,"2018-05-11"
"51","25284","1294170","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3996","140","ON","90 00:00:00","H","37","50","100","ON","55 00:00:00","H","37","140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","A","+/- 4.9","m/s²","0.01922","0","Activity","10","1",NA,NA,"2018-05-11"
"52","25284","1294170","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3997","140","ON","90 00:00:00","H",NA,"50","100","ON","55 00:00:00","H",NA,"140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","P","0034","Meters","0.1516","-0.6065",NA,NA,NA,NA,NA,"2018-05-11"
"53","25284","1294171","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3998","140","ON","90 00:00:00","H","37","50","100","ON","55 00:00:00","H","37","140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","A","+/- 4.9","m/s²","0.01922","0","Activity","10","1",NA,NA,"2018-05-11"
"54","25284","1294171","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-3999","140","ON","90 00:00:00","H",NA,"50","100","ON","55 00:00:00","H",NA,"140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","P","0034","Meters","0.1516","-0.6065",NA,NA,NA,NA,NA,"2018-05-11"
"55","25284","1294172","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-4000","140","ON","90 00:00:00","H","37","50","100","ON","55 00:00:00","H","37","140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","A","+/- 4.9","m/s²","0.01922","0","Activity","10","1",NA,NA,"2018-05-11"
"56","25284","1294172","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-4001","140","ON","90 00:00:00","H",NA,"50","100","ON","55 00:00:00","H",NA,"140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","P","0034","Meters","0.1516","-0.6065",NA,NA,NA,NA,NA,"2018-05-11"
"57","25284","1294173","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-4002","140","ON","90 00:00:00","H","37","50","100","ON","55 00:00:00","H","37","140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","A","+/- 4.9","m/s²","0.01922","0","Activity","10","1",NA,NA,"2018-05-11"
"58","25284","1294173","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-4003","140","ON","90 00:00:00","H",NA,"50","100","ON","55 00:00:00","H",NA,"140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","P","0034","Meters","0.1516","-0.6065",NA,NA,NA,NA,NA,"2018-05-11"
"59","25284","1294174","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-4004","140","ON","90 00:00:00","H","37","50","100","ON","55 00:00:00","H","37","140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","A","+/- 4.9","m/s²","0.01922","0","Activity","10","1",NA,NA,"2018-05-11"
"60","25284","1294174","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-4005","140","ON","90 00:00:00","H",NA,"50","100","ON","55 00:00:00","H",NA,"140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","P","0034","Meters","0.1516","-0.6065",NA,NA,NA,NA,NA,"2018-05-11"
"61","25284","1294175","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-4006","140","ON","90 00:00:00","H","37","50","100","ON","55 00:00:00","H","37","140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","A","+/- 4.9","m/s²","0.01922","0","Activity","10","1",NA,NA,"2018-05-11"
"62","25284","1294175","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-4007","140","ON","90 00:00:00","H",NA,"50","100","ON","55 00:00:00","H",NA,"140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","P","0034","Meters","0.1516","-0.6065",NA,NA,NA,NA,NA,"2018-05-11"
"63","25284","1294176","2","WAGENINGEN UR MARINE RESEARCH","Jan Reubens","V13AP-1x-069k-1-0034m","A69-9006-4008","140","ON","90 00:00:00","H","37","50","100","ON","55 00:00:00","H","37","140","220","OFF","365 00:00:00","L",NA,NA,NA,"OFF","0 00:00:00","L",NA,NA,NA,"3","A","+/- 4.9","m/s²","0.01922","0","Activity","10","1",NA,NA,"2018-05-11"
