"","serialNumber","ownerGroup","ownerPi","model","frequency","tagCodeSpace","idCode","estimatedLifetime","durationStep1","powerStep1","acceleration_on_sec_step1","minDelayStep1","maxDelayStep1","durationStep2","powerStep2","acceleration_on_sec_step2","minDelayStep2","maxDelayStep2","durationStep3","powerStep3","acceleration_on_sec_step3","minDelayStep3","maxDelayStep3","durationStep4","powerStep4","acceleration_on_sec_step4","minDelayStep4","maxDelayStep4","sensorType","range","units","slope","intercept","accelerometer_algoritm","accelerometer_samples_per_sec","sensor_transmit_ratio","manufacturer","acousticTagType","type","thelmaConvertedCode"
"15",1294152,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3960","3960",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"16",1294152,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3961","3961",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"17",1294153,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3962","3962",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"18",1294153,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3963","3963",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"19",1294154,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3964","3964",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"20",1294154,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3965","3965",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"21",1294155,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3966","3966",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"22",1294155,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3967","3967",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"23",1294156,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3968","3968",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"24",1294156,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3969","3969",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"25",1294157,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3970","3970",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"26",1294157,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3971","3971",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"27",1294158,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3972","3972",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"28",1294158,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3973","3973",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"29",1294159,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3974","3974",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"30",1294159,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3975","3975",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"31",1294160,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3976","3976",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"32",1294160,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3977","3977",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"33",1294161,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3978","3978",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"34",1294161,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3979","3979",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
