"","serialNumber","ownerGroup","ownerPi","model","frequency","tagCodeSpace","idCode","estimatedLifetime","durationStep1","powerStep1","acceleration_on_sec_step1","minDelayStep1","maxDelayStep1","durationStep2","powerStep2","acceleration_on_sec_step2","minDelayStep2","maxDelayStep2","durationStep3","powerStep3","acceleration_on_sec_step3","minDelayStep3","maxDelayStep3","durationStep4","powerStep4","acceleration_on_sec_step4","minDelayStep4","maxDelayStep4","sensorType","range","units","slope","intercept","accelerometer_algoritm","accelerometer_samples_per_sec","sensor_transmit_ratio","manufacturer","acousticTagType","type","thelmaConvertedCode"
"77",1294183,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4022","4022",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"78",1294183,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4023","4023",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"79",1294184,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4024","4024",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"80",1294184,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4025","4025",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"81",1294185,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4026","4026",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"82",1294185,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4027","4027",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"83",1294186,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4028","4028",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"84",1294186,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4029","4029",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"85",1294187,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4030","4030",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"86",1294187,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4031","4031",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"87",1294188,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4032","4032",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"88",1294188,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4033","4033",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"89",1294189,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4034","4034",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"90",1294189,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4035","4035",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"91",1294190,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4036","4036",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"92",1294190,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4037","4037",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"93",1294191,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4038","4038",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"94",1294191,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4039","4039",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
